"","range","par","est","lwr","upr","significant","model"
"75",400,"L_epsilon2_z",0.846555363880457,0.715750808081149,0.977359919679764,TRUE,"bts"
"76",400,"L_beta2_z",0.259552875854873,-0.256034300243444,0.775140051953191,FALSE,"bts"
"77",400,"Beta_mean2_c",2.47846032994071,0.470272761351048,4.48664789853038,TRUE,"bts"
"78",400,"logSigmaM",0.435806765653786,0.412908678288331,0.45870485301924,TRUE,"bts"
"79",800,"ln_H_input",0.268299639259343,0.0582734289808034,0.478325849537882,TRUE,"bts"
"80",800,"ln_H_input",-0.806466292916852,-1.06097146042082,-0.551961125412885,TRUE,"bts"
"81",800,"gamma1_ctp",0.0347414451694193,-0.132325176212833,0.201808066551672,FALSE,"bts"
"82",800,"L_omega1_z",1.48397322723861,0.918610965111997,2.04933548936522,TRUE,"bts"
"83",800,"L_epsilon1_z",0.385207438378848,0.254242774731651,0.516172102026046,TRUE,"bts"
"84",800,"L_beta1_z",0,-0.410680699522794,0.410680699522794,FALSE,"bts"
"85",800,"Beta_mean1_c",1.09476626825884,-2.15739294861194,4.34692548512963,FALSE,"bts"
"86",800,"gamma2_ctp",0.0872734737632967,-0.121107872993467,0.295654820520061,FALSE,"bts"
"87",800,"L_omega2_z",2.60251111290982,1.90766435323967,3.29735787257997,TRUE,"bts"
"88",800,"L_epsilon2_z",1.18948657390531,0.987289708538785,1.39168343927184,TRUE,"bts"
"89",800,"L_beta2_z",1.60678210633912e-164,-0.853138738661765,0.853138738661765,FALSE,"bts"
"90",800,"Beta_mean2_c",2.41749843002087,-3.64532656011561,8.48032342015736,FALSE,"bts"
"91",800,"logSigmaM",0.443453999946833,0.420564409978502,0.466343589915164,TRUE,"bts"
"92",1600,"ln_H_input",0.297625610256773,0.101844876001645,0.493406344511902,TRUE,"bts"
"93",1600,"ln_H_input",-0.756273971130914,-0.983397015777015,-0.529150926484813,TRUE,"bts"
"94",1600,"gamma1_ctp",0.0389769271048594,-0.12261011549267,0.200563969702389,FALSE,"bts"
"95",1600,"L_omega1_z",2.73280380896399,1.70959981034216,3.75600780758581,TRUE,"bts"
"96",1600,"L_epsilon1_z",0.467297700902049,0.240954901990826,0.693640499813272,TRUE,"bts"
"97",1600,"L_beta1_z",3.64725029606188e-07,-0.651993939198768,0.651994668648827,FALSE,"bts"
"98",1600,"Beta_mean1_c",1.07625214996257,-10.6465978387801,12.7991021387052,FALSE,"bts"
"99",1600,"gamma2_ctp",0.0806987487896172,-0.123823981537041,0.285221479116275,FALSE,"bts"
"100",1600,"L_omega2_z",4.9753718777581,3.68162614393344,6.26911761158275,TRUE,"bts"
"101",1600,"L_epsilon2_z",2.12819834311749,1.74864381177688,2.5077528744581,TRUE,"bts"
"102",1600,"L_beta2_z",0,-2.72066789254,2.72066789254,FALSE,"bts"
"103",1600,"Beta_mean2_c",2.40636109683963,-20.4727821662285,25.2855043599078,FALSE,"bts"
"104",1600,"logSigmaM",0.446494806868032,0.423543964416215,0.469445649319848,TRUE,"bts"
